-2.0598 0.952747 2.19612
-2.05351 0.962721 2.19313
-2.04722 0.972728 2.19012
-2.04093 0.982767 2.18711
-2.03465 0.992837 2.18409
-2.02836 1.00294 2.18106
-2.02207 1.01307 2.17802
-2.01578 1.02323 2.17497
-2.00949 1.03342 2.17192
-2.0032 1.04364 2.16885
-1.99691 1.05389 2.16578
-1.99062 1.06417 2.1627
-1.98433 1.07447 2.15962
-1.97804 1.0848 2.15652
-1.97175 1.09516 2.15342
-1.96546 1.10555 2.15031
-1.95917 1.11596 2.1472
-1.95288 1.12639 2.14408
-1.94659 1.13685 2.14095
-1.9403 1.14734 2.13782
-1.93401 1.15785 2.13468
-1.92772 1.16838 2.13153
-1.92143 1.17894 2.12838
-1.91515 1.18951 2.12522
-1.90886 1.20011 2.12206
-1.90257 1.21074 2.11889
-1.89628 1.22138 2.11572
-1.88999 1.23204 2.11255
-1.8837 1.24272 2.10937
-1.87741 1.25342 2.10618
-1.87112 1.26414 2.103
-1.86483 1.27488 2.09981
-1.85854 1.28564 2.09661
-1.85225 1.29641 2.09341
-1.84596 1.3072 2.09022
-1.83967 1.318 2.08701
-1.83338 1.32882 2.08381
-1.82709 1.33966 2.08061
-1.8208 1.3505 2.0774
-1.81451 1.36136 2.07419
-1.80822 1.37224 2.07099
-1.80193 1.38312 2.06778
-1.79565 1.39402 2.06458
-1.78936 1.40492 2.06137
-1.78307 1.41583 2.05817
-1.77678 1.42676 2.05497
-1.77049 1.43768 2.05177
-1.7642 1.44862 2.04858
-1.75791 1.45956 2.04539
-1.75162 1.4705 2.0422
-1.74533 1.48145 2.03902
-1.73904 1.4924 2.03585
-1.73275 1.50335 2.03269
-1.72646 1.5143 2.02953
-1.72017 1.52525 2.02639
-1.71388 1.53619 2.02325
-1.70759 1.54713 2.02013
-1.7013 1.55806 2.01702
-1.69501 1.56898 2.01393
-1.68872 1.57989 2.01086
-1.68243 1.59078 2.00781
-1.67615 1.60166 2.00478
-1.66986 1.61251 2.00178
-1.66357 1.62334 1.9988
